country,continent,Confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,Population
Gabon,Africa,47608,304,47297,7,,20490,131,1594523,686256,2323511
Gambia,Africa,11999,365,11591,43,,4718,144,155686,61220,2543054
Georgia,Asia,1655221,16811,1637293,1117,,416417,4229,16920079,4256722,3974908
Germany,Europe,25780226,137919,23956700,1685607,1279,305877,1636,122332384,1451450,84282880
Ghana,Africa,161280,1445,159788,47,1,4996,45,2442206,75655,32280617
Gibraltar,Europe,18129,102,16579,1448,,538400,3029,534283,15867278,33672
Greece,Europe,3392575,29547,3306014,57014,176,328475,2861,81233888,7865209,10328255
Greenland,North America,11971,21,2761,9189,4,210191,369,164926,2895826,56953
Grenada,North America,16344,221,14634,1489,4,144008,1947,157363,1386531,113494
Guadeloupe,North America,140130,854,2250,137026,19,350105,2134,938039,2343627,400251
Guatemala,North America,851877,17792,831794,2291,5,45966,960,4543522,245163,18532670
Guinea Bissau,Africa,8222,171,8010,41,6,4002,83,136655,66512,2054599
Guinea,Africa,36597,442,36113,42,8,2653,32,660107,47848,13795931
Guyana,South America,63804,1228,62301,275,,80396,1547,610906,769770,793621
Haiti,North America,30713,835,29605,273,,2634,72,132422,11356,11661401
Holy See,Europe,29,,29,0,,36025,,,,805
Honduras,North America,424390,10896,132358,281136,105,41615,1068,1365056,133856,10197959
Hungary,Europe,1909948,46343,1821435,42170,29,198649,4820,11394556,1185122,9614673
Iceland,Europe,186545,120,,,,540134,347,2264004,6555338,345368
India,Asia,43121599,524214,42579693,17692,698,30686,373,843836914,600479,1405273033
Indonesia,Asia,6050776,156458,5889534,4784,2771,21694,561,97245391,348662,278910317
Iran,Asia,7228051,141224,7020835,65992,737,84052,1642,51771715,602031,85995095
Iraq,Asia,2326458,25216,2299985,1257,10,55520,602,18529376,442197,41902979
Ireland,Europe,1535451,7203,1499879,28369,28,304622,1429,12144747,2409429,5040509
Isle Of Man,Europe,28416,105,26794,1517,,330915,1223,150753,1755575,85871
Israel,Asia,4106793,10749,4081150,14894,150,440360,1153,41373364,4436346,9326000
Italy,Europe,17057873,165244,15894511,998118,347,282901,2741,217853667,3613054,60296265
Jamaica,North America,131980,2995,84883,44102,,44211,1003,1031235,345445,2985238
Japan,Asia,8338211,30039,7951587,356585,139,66305,239,50444181,401129,125755488
Jordan,Asia,1694216,14048,1678941,1227,124,163034,1352,16670254,1604177,10391780
Kazakhstan,Asia,1305636,13661,1291669,306,24,68020,712,11575012,603023,19194987
Kenya,Africa,324026,5649,318142,235,,5789,101,3630986,64866,55976553
Kiribati,Australia/Oceania,3093,13,2602,478,3,25175,106,,,122862
Kuwait,Asia,632074,2555,629114,405,3,144040,582,8071763,1839430,4388186
Kyrgyzstan,Asia,200993,2991,196406,1596,131,29889,445,1907195,283613,6724638
Laos,Asia,209386,754,,,,28022,101,1232128,164896,7472169
Latvia,Europe,825699,5798,816253,3648,6,446957,3139,7217715,3907005,1847378
Lebanon,Asia,1097956,10407,1084853,2696,186,162215,1538,4795578,708511,6768532
Lesotho,Africa,32910,697,24155,8058,,15139,321,431221,198365,2173878
Liberia,Africa,7451,294,5747,1410,2,1411,56,139824,26487,5278999
Libya,Africa,501904,6430,490973,4501,101,71240,913,2477219,351613,7045301
Liechtenstein,Europe,17347,84,17192,71,1,452546,2191,102174,2665501,38332
Lithuania,Europe,1060619,9127,1032609,18883,11,399994,3442,9954903,3754317,2651588
Luxembourg,Europe,244182,1073,235939,7170,,378610,1664,4248188,6586920,644943
Macedonia,Europe,310684,9289,300761,634,,149137,4459,2034606,976666,2083215
Madagascar,Africa,64236,1393,59370,3473,14,2214,48,430995,14854,29016291
Malawi,Africa,85887,2636,82703,548,67,4284,131,578807,28868,20050211
Malaysia,Asia,4475873,35612,4409159,31102,47,135067,1075,59274648,1788706,33138284
Maldives,Asia,179483,298,163687,15498,25,321497,534,2213831,3965506,558272
Mali,Africa,31003,733,30088,182,,1453,34,675008,31636,21336613
Malta,Europe,93508,713,90076,2719,4,210730,1607,1904970,4293055,443733
Marshall Islands,Australia/Oceania,17,,14,3,,284,,,,59934
Martinique,North America,153253,926,104,152223,8,408977,2471,828928,2212109,374723
Mauritania,Africa,58840,982,57708,150,,12064,201,816126,167336,4877181
Mauritius,Africa,37843,996,36183,664,,29665,781,358675,281160,1275698
Mayotte,Africa,37363,187,2964,34212,,131066,656,176919,620616,285070
Mexico,North America,5745652,324465,5044893,376294,4798,43708,2468,15855490,120615,131455607
Micronesia,Australia/Oceania,7,,1,6,,60,,,,117269
Moldova,Europe,516986,11489,504142,1355,49,128715,2860,3216305,800772,4016504
Monaco,Europe,12004,54,11866,84,4,301911,1358,54960,1382294,39760
Mongolia,Asia,469885,2179,313256,154450,192,139159,645,4030048,1193522,3376601
Montenegro,Europe,236277,2719,232955,603,6,376109,4328,2465201,3924142,628214
Montserrat,North America,747,2,390,355,,149460,400,11238,2248499,4998
Morocco,Africa,1165795,16071,1149054,670,293,30902,426,11237010,297864,37725337
Mozambique,Africa,225493,2201,223190,102,13,6857,67,1319772,40132,32885526
Myanmar,Asia,613140,19434,592089,1617,,11130,353,8083326,146732,55089133
Namibia,Africa,160074,4028,153662,2384,,60944,1534,1018783,387873,2626590
Nauru,Australia/Oceania,8,,5,3,,731,,,,10951
Nepal,Asia,978998,11952,966904,142,,32511,397,5669140,188264,30112649
Netherlands,Europe,8067116,22292,7989151,55673,55,468869,1296,21107399,1226784,17205480
New Caledonia,Australia/Oceania,61049,312,60339,398,9,210072,1074,98964,340539,290610
New Zealand,Australia/Oceania,1043683,923,989005,53755,,208649,185,7127584,1424918,5002100
Nicaragua,North America,18491,225,4225,14041,,2731,33,,,6771338
Niger,Africa,9013,310,8579,124,1,349,12,253043,9794,25837472
Nigeria,Africa,255859,3143,249943,2773,11,1186,15,5114703,23717,215651424
Niue,Australia/Oceania,9,,9,0,,5464,,,,1647
Norway,Europe,1429717,3061,,,20,259940,557,11002430,2000372,5500191
Oman,Asia,389408,4260,384592,556,2,72808,796,25000000,4674286,5348410
Pakistan,Asia,1529249,30376,1494141,4732,109,6681,133,28350449,123867,228878790
Palau,Australia/Oceania,4879,6,4166,707,1,267269,329,49264,2698658,18255
Panama,North America,806277,8203,773421,24653,16,181543,1847,6019923,1355456,4441253
Papua New Guinea,Australia/Oceania,43876,651,43200,25,7,4737,70,249149,26898,9262605
Paraguay,South America,649718,18872,624673,6173,2,89055,2587,2633737,360998,7295705
Peru,South America,3571919,213023,,,248,105593,6297,30226868,893567,33827210
Philippines,Asia,3687922,60455,3624459,3008,289,32841,538,29827732,265614,112297269
Poland,Europe,6003436,116207,5335112,552117,981,158950,3077,36224215,959088,37769420
Portugal,Europe,4066674,22583,,,61,400999,2227,41903714,4131968,10141346
Qatar,Asia,366179,677,364474,1028,1,130415,241,3487616,1242115,2807805
Reunion,Africa,405980,762,395430,9788,10,447503,840,1603660,1767679,907212
Romania,Europe,2903072,65612,,,138,152803,3453,22954921,1208233,18998751
Russia,Europe,18260293,377670,17647179,235444,2300,125027,2586,273400000,1871949,146050996
Rwanda,Africa,129907,1459,45522,82926,,9587,108,5343203,394334,13549956
Saint Barthelemy,North America,4611,6,,,,464210,604,78646,7917648,9933
Saint Helena,Africa,2,,2,0,,327,,,,6111
Saint Kitts And Nevis,North America,5605,43,5547,15,,103989,798,70707,1311818,53900
Saint Lucia,North America,24267,368,23277,622,1,131038,1987,143281,773697,185190
Saint Martin,North America,10602,63,1399,9140,7,265754,1579,112382,2817015,39894
Saint Pierre And Miquelon,North America,2739,1,2449,289,1,477095,174,23687,4125936,5741
Saint Vincent And The Grenadines,North America,6799,106,6641,52,,60925,950,99138,888365,111596
Samoa,Australia/Oceania,11313,24,1605,9684,4,56320,119,85921,427746,200869
San Marino,Europe,16852,115,16454,283,4,494716,3376,152231,4468970,34064
Sao Tome And Principe,Africa,5970,73,5891,6,,26330,322,29036,128060,226737
Saudi Arabia,Asia,759226,9116,743921,6189,61,21194,254,42144668,1176452,35823522
Senegal,Africa,86039,1966,84059,14,,4898,112,1081824,61589,17565349
Serbia,Europe,2012836,16049,1988209,8578,12,232112,1851,9596815,1106664,8671838
Seychelles,Africa,43235,167,42553,515,,434606,1679,,,99481
Sierra Leone,Africa,7682,125,,,,928,15,259958,31400,8279028
Singapore,Asia,1240233,1362,1162140,76731,8,208933,229,23767171,4003881,5936034
Sint Maarten,North America,10123,86,9985,52,10,231208,1964,62056,1417354,43783
Slovakia,Europe,1787093,20041,1761664,5388,30,327033,3667,7127129,1304244,5464567
Slovenia,Europe,1019468,6622,1003559,9287,9,490254,3184,2656926,1277694,2079470
Solomon Islands,Australia/Oceania,18174,146,16357,1671,2,25303,203,5117,7124,718243
Somalia,Africa,26518,1350,13182,11986,,1586,81,400466,23953,16718643
South Africa,Africa,3887449,100753,3708347,78349,192,64042,1660,24841314,409239,60701292
South Korea,Asia,17782061,23709,,,338,346282,462,15804065,307763,51351355
South Sudan,Africa,17525,138,13514,3873,1,1532,12,389677,34068,11438136
Spain,Europe,12127122,105444,11548089,473589,339,259190,2254,471036328,10067352,46788503
Sri Lanka,Asia,663671,16511,646921,239,,30753,765,6486117,300555,21580463
State Of Palestine,Asia,582119,5353,576684,82,17,109376,1006,3078533,578432,5322203
Sudan,Africa,62161,4936,,,,1359,108,562941,12303,45755378
Suriname,South America,80008,1337,49455,29216,,134147,2242,236268,396143,596421
Swaziland,Africa,71698,1402,69549,747,11,60631,1186,1021394,863732,1182536
Sweden,Europe,2504894,18864,2477725,8305,9,245180,1846,18553837,1816057,10216549
Switzerland,Europe,3631881,13882,3551493,66506,78,414008,1582,20927607,2385592,8772500
Syria,Asia,55869,3150,52479,240,,3054,172,146269,7996,18292142
Taiwan,Asia,768543,1068,60634,706841,,32161,45,16207475,678221,23897056
Tajikistan,Asia,17388,124,17264,0,,1750,12,,,9936493
Tanzania,Africa,35354,840,,,7,562,13,,,62901456
Thailand,Asia,4373846,29475,4273599,70772,1496,62371,420,17270775,246281,70126166
Timor Leste,Asia,22889,131,22746,12,,16766,96,264799,193963,1365204
Togo,Africa,37023,273,36727,23,,4285,32,735638,85144,8639966
Tonga,Australia/Oceania,11049,11,10110,928,,102376,102,518262,4802012,107926
Trinidad And Tobago,North America,154643,3871,141354,9418,18,109837,2749,726218,515806,1407928
Tunisia,Africa,1041197,28575,,,29,86414,2372,4592916,381189,12048936
Turkey,Asia,15053168,98890,14951238,3040,975,174977,1149,160622710,1867071,86029250
Turks And Caicos Islands,North America,6046,36,5963,47,4,152323,907,505354,12731886,39692
Uganda,Africa,164069,3596,100205,60268,2,3388,74,2612795,53950,48429823
UK,Europe,22159805,176708,21677896,305201,253,323264,2578,519264096,7574950,68550166
Ukraine,Europe,5006460,108449,,,177,115771,2508,19521252,451415,43244553
United Arab Emirates,Asia,902484,2302,886128,14054,,89240,228,159103283,15732628,10112950
Uruguay,South America,902540,7213,892434,2893,18,258152,2063,6114822,1749015,3496151
United States of America,North America,84209473,1026646,81244260,1938567,1941,251659,3068,1016882505,3038939,334617623
Uzbekistan,Asia,238802,1637,236974,191,23,6947,48,1377915,40088,34372515
Vanuatu,Australia/Oceania,8457,14,7974,469,,26386,44,24976,77926,320508
Venezuela,South America,522921,5711,516170,1040,230,18487,202,3359014,118752,28285909
Viet Nam,Asia,10696630,43065,9355040,1298525,340,108080,435,85811485,867048,98969721
Wallis And Futuna Islands,Australia/Oceania,454,7,438,9,,41755,644,20508,1886140,10873
Western Sahara,Africa,10,1,9,0,,16,2,,,624681
Yemen,Asia,11819,2149,9009,661,23,381,69,265253,8543,31049015
Zambia,Africa,320591,3983,315997,611,,16575,206,3452554,178497,19342381
Zimbabwe,Africa,249206,5482,242417,1307,12,16324,359,2287793,149863,15265849
